0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,2,3,7,0,0,0,0,0,0,0,0,0
0,0,0,1,2,6,5,11,12,12,7,6,0,3,1,0,0,0,0,0
0,0,0,5,8,15,26,32,47,35,22,15,3,5,1,4,0,0,0,0
0,0,1,8,15,32,61,78,85,75,59,38,25,14,0,0,0,0,0,0
0,0,3,5,18,32,69,90,97,99,56,43,35,24,11,3,1,0,0,0
0,0,1,8,29,53,84,124,123,125,109,73,57,54,37,8,13,2,0,0
0,1,6,17,40,67,115,118,95,126,109,100,99,89,60,34,9,6,1,0
1,3,5,14,32,54,85,110,120,137,114,109,130,112,73,44,17,2,4,0
0,0,7,18,41,68,75,96,130,126,167,168,128,100,70,48,16,5,2,0
0,1,11,23,44,67,80,95,139,163,164,166,150,88,34,34,16,3,3,1
1,5,12,28,50,68,97,103,139,187,199,170,129,89,29,17,12,3,2,2
1,4,14,29,54,70,76,113,156,174,221,128,117,66,24,6,3,4,0,0
2,6,11,31,47,69,75,88,117,153,165,112,81,28,19,8,0,0,0,0
0,3,9,20,37,53,46,49,78,96,129,79,43,17,11,2,0,0,0,0
0,4,8,18,33,34,28,32,49,57,68,33,23,9,4,3,0,0,0,0
0,0,1,11,13,8,12,10,22,19,34,14,4,3,0,0,0,0,0,0
0,0,2,3,5,2,4,7,6,9,10,5,0,1,0,0,0,0,0,0
0,0,2,0,0,1,0,1,4,1,1,2,0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
